ID,CsquareCode,LOICZID,NLimit,Slimit,WLimit,ELimit,CenterLat,CenterLong,CellArea,OceanArea,PWater,ClimZoneCode,FAOAreaM,FAOAreaIn,CountryMain,CountrySecond,CountryThird,CountrySubMain,CountrySubSecond,CountrySubThird,EEZ,LME,LMEBorder,MEOW,OceanBasin,IslandsNo,Area0_20,Area20_40,Area40_60,Area60_80,Area80_100,AreaBelow100,ElevationMin,ElevationMax,ElevationMean,ElevationSD,DepthMin,DepthMax,DepthMean,DepthSD,SSTAnMean,SBTAnMean,SalinityMean,SalinityBMean,PrimProdMean,IceConAnn,OxyMean,OxyBMean,LandDist,Shelf,Slope,Abyssal,TidalRange,Coral,Estuary,Seamount,MPA
228593,7413:360:2,62739,46.5,46,-131,-130.5,46.25,-130.75,2137.51,2137.51,100,NR,67,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,31000,-9999,0,0,0,0,0,2137.51,-9999,-9999,-9999,-9999,919,3157,2662,426.22,11.888689994812,1.42005705833435,32.4971733093262,34.6503639221191,3.77100007608533,0,273.539367675781,100.886451721191,486,0,2137.512,0,-9999,0,0,1,NA
228594,7413:360:3,62020,47,46.5,-130.5,-130,46.75,-130.25,2117.94,2117.94,100,NR,67,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,31000,-9999,0,0,0,0,0,2117.94,-9999,-9999,-9999,-9999,2200,2950,2678,144.9,11.7153167724609,1.52011501789093,32.4769973754883,34.6310005187988,4.14599990472198,0,274.537384033203,86.7250671386719,419,0,2117.945,0,-9999,0,0,0,NA
228595,7413:360:4,62019,47,46.5,-131,-130.5,46.75,-130.75,2117.94,2117.94,100,NR,67,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,31000,-9999,0,0,0,0,0,2117.94,-9999,-9999,-9999,-9999,123,3133,2147,708.66,11.6599378585815,2.87185788154602,32.484073638916,34.4348983764648,4.01399983093143,0,274.694488525391,20.4063491821289,445,54.179988372093,2063.76501162791,0,-9999,0,0,1,NA
228596,7413:361:1,62738,46.5,46,-131.5,-131,46.25,-131.25,2137.51,2137.51,100,NR,67,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,31000,-9999,0,0,0,0,0,2137.51,-9999,-9999,-9999,-9999,2047,3162,2803,169.26,11.8608551025391,1.47174894809723,32.502571105957,34.6503295898438,3.67700005881488,0,273.571533203125,95.771858215332,512,0,2137.512,0,-9999,0,0,0,NA
228597,7413:361:2,62737,46.5,46,-132,-131.5,46.25,-131.75,2137.51,2137.51,100,NR,67,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,31000,-9999,0,0,0,0,0,2137.51,-9999,-9999,-9999,-9999,2795,3403,3197,111.79,11.8336277008057,1.36845004558563,32.5014343261719,34.6504096984863,3.73900006525218,0,273.949127197266,107.637519836426,539,0,2137.512,0,-9999,0,0,0,NA
228598,7413:361:3,62018,47,46.5,-131.5,-131,46.75,-131.25,2117.94,2117.94,100,NR,67,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,31000,-9999,0,0,0,0,0,2117.94,-9999,-9999,-9999,-9999,547,3272,2473,609.75,11.6254892349243,1.94320702552795,32.4884796142578,34.5514259338379,3.76200000755489,0,274.9287109375,54.5720634460449,473,0,2117.945,0,-9999,0,0,2,NA
228599,7413:361:4,62017,47,46.5,-132,-131.5,46.75,-131.75,2117.94,2117.94,100,NR,67,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,31000,-9999,0,0,0,0,0,2117.94,-9999,-9999,-9999,-9999,2786,3367,3179,115.08,11.5865783691406,1.31475400924683,32.4872093200684,34.668342590332,3.84299992583692,0,275.520385742188,114.528381347656,502,0,2117.945,0,-9999,0,0,0,NA
228600,7413:362:1,62736,46.5,46,-132.5,-132,46.25,-132.25,2137.51,2137.51,100,NR,67,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,31000,-9999,0,0,0,0,0,2137.51,-9999,-9999,-9999,-9999,3035,3553,3370,92.97,11.8036489486694,1.31276702880859,32.4981498718262,34.6691932678223,3.80300008691847,0,274.396789550781,114.832717895508,568,0,2137.512,0,-9999,0,0,0,NA
228601,7413:362:2,62735,46.5,46,-133,-132.5,46.25,-132.75,2137.51,2137.51,100,NR,67,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,31000,-9999,0,0,0,0,0,2137.51,-9999,-9999,-9999,-9999,2911,3915,3588,202.53,11.7493324279785,1.35237002372742,32.4990119934082,34.6520805358887,3.885000012815,0,275.017395019531,110.514831542969,597,0,2137.512,0,-9999,0,0,0,NA
228602,7413:362:3,62016,47,46.5,-132.5,-132,46.75,-132.25,2117.94,2117.94,100,NR,67,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,31000,-9999,0,0,0,0,0,2117.94,-9999,-9999,-9999,-9999,2976,3507,3283,84.93,11.5484352111816,1.36865198612213,32.4854125976563,34.6500015258789,4.00400022044778,0,276.265808105469,107.873710632324,533,0,2117.945,0,-9999,0,0,0,NA
228603,7413:362:4,62015,47,46.5,-133,-132.5,46.75,-132.75,2117.94,2117.94,100,NR,67,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,31000,-9999,0,0,0,0,0,2117.94,-9999,-9999,-9999,-9999,3246,3824,3487,104.53,11.4924249649048,1.3080849647522,32.488109588623,34.6667518615723,4.10499982535839,0,276.787719726563,115.832084655762,564,0,2117.945,0,-9999,0,0,0,NA
228604,7413:363:1,62734,46.5,46,-133.5,-133,46.25,-133.25,2137.51,2137.51,100,NR,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,31000,-9999,0,0,0,0,0,2137.51,-9999,-9999,-9999,-9999,3009,3907,3781,90.59,11.6744613647461,1.22375798225403,32.5041694641113,34.6820182800293,3.9949999190866903,0,275.803192138672,129.343414306641,628,0,2137.512,0,-9999,0,0,0,NA
228605,7413:363:2,62733,46.5,46,-134,-133.5,46.25,-133.75,2137.51,2137.51,100,NR,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,31000,-9999,0,0,0,0,0,2137.51,-9999,-9999,-9999,-9999,2860,3930,3742,203.01,11.5917520523071,1.2427990436554,32.5090637207031,34.6820526123047,4.10099979490042,0,276.473327636719,126.76286315918,659,0,2137.512,0,-9999,0,0,0,NA
228606,7413:363:3,62014,47,46.5,-133.5,-133,46.75,-133.25,2117.94,2117.94,100,NR,67,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,31000,-9999,0,0,0,0,0,2117.94,-9999,-9999,-9999,-9999,3571,3956,3760,73.53,11.4108791351318,1.24740195274353,32.4944915771484,34.6666793823242,4.1809999383986,0,277.221282958984,125.891830444336,593,0,2117.945,0,-9999,0,0,0,NA
228607,7413:363:4,62013,47,46.5,-134,-133.5,46.75,-133.75,2117.94,2117.94,100,NR,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,31000,-9999,0,0,0,0,0,2117.94,-9999,-9999,-9999,-9999,3718,3935,3860,43.08,11.3176870346069,1.22228598594666,32.4991073608398,34.6818733215332,4.28299978375435,0,277.799468994141,129.374954223633,623,0,2117.945,0,-9999,0,0,0,NA
228608,7413:364:1,62732,46.5,46,-134.5,-134,46.25,-134.25,2137.51,2137.51,100,NR,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,31000,-9999,0,0,0,0,0,2137.51,-9999,-9999,-9999,-9999,3664,4056,3919,42.61,11.5224370956421,1.22232103347778,32.512092590332,34.6820526123047,4.21700021252036,0,277.146820068359,129.766952514648,688,0,1832.15314285714,305.358857142857,-9999,0,0,0,NA
228609,7413:364:2,62731,46.5,46,-135,-134.5,46.25,-134.75,2137.51,2137.51,100,NR,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,31000,-9999,0,0,0,0,0,2137.51,-9999,-9999,-9999,-9999,3204,4099,3858,135,11.4778833389282,1.21925699710846,32.5129699707031,34.6823425292969,4.38100006431341,0,277.858459472656,130.40966796875,718,0,1901.07212513966,236.439874860335,-9999,0,0,0,NA
228610,7413:364:3,62012,47,46.5,-134.5,-134,46.75,-134.25,2117.94,2117.94,100,NR,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,31000,-9999,0,0,0,0,0,2117.94,-9999,-9999,-9999,-9999,3596,4081,3901,82.85,11.2353839874268,1.22178602218628,32.5019264221191,34.6817588806152,4.39599994570017,0,278.447479248047,129.501739501953,654,0,1764.22635051546,353.718649484536,-9999,0,0,0,NA
228611,7413:364:4,62011,47,46.5,-135,-134.5,46.75,-134.75,2117.94,2117.94,100,NR,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,31000,-9999,0,0,0,0,0,2117.94,-9999,-9999,-9999,-9999,3232,4100,3855,112.23,11.1886940002441,1.21813702583313,32.5020065307617,34.6817245483398,4.53699985519052,0,279.2392578125,130.357803344727,684,0,1873.94211981567,244.002880184332,-9999,0,0,0,NA
