kingdom,phylum,class,order,family,genus,sciname,taxonomic_authority,population,category,main_common,iucn_sid
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Mus,Mus musculus,"Linnaeus, 1758",NA,LC,House Mouse,13972
ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Neophoca,Neophoca cinerea,"(Péron, 1816)",NA,EN,Australian Sea Lion,14549
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Neotoma,Neotoma bryanti ssp. anthonyi,"J.A. Allen, 1898",NA,EX,Anthony's Woodrat,14576
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Neotoma,Neotoma bryanti ssp. martinensis,"Goldman, 1905",NA,EX,San Martin Island Woodrat,14580
ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,ODOBENIDAE,Odobenus,Odobenus rosmarus,"(Linnaeus, 1758)",NA,VU,Walrus,15106
ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,ODOBENIDAE,Odobenus,Odobenus rosmarus ssp. rosmarus,"(Linnaeus, 1758)",NA,NT,Atlantic Walrus,15108
ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Ommatophoca,Ommatophoca rossii,"(Gray, 1844)",NA,LC,Ross Seal,15269
ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Orcaella,Orcaella brevirostris,"(Owen in Gray, 1866)",NA,EN,Irrawaddy Dolphin,15419
ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Orcinus,Orcinus orca,"(Linnaeus, 1758)",NA,DD,Killer Whale,15421
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,GEOMYIDAE,Orthogeomys,Orthogeomys hispidus,"(Le Conte, 1852)",NA,LC,Hispid Pocket Gopher,15549
ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Peponocephala,Peponocephala electra,"(Gray, 1846)",NA,LC,Melon-headed Whale,16564
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Peromyscus,Peromyscus pseudocrinitus,"Burt, 1932",NA,CR,Coronados Deer Mouse,16687
ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Phoca,Phoca vitulina,"Linnaeus, 1758",NA,LC,Harbor Seal,17013
ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Phoca,Phoca vitulina ssp. stejnegeri,"J. Allen, 1902",NA,DD,Kuril Seal,17014
ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Phoca,Phoca vitulina ssp. vitulina,"Linnaeus, 1758",NA,LC,Eastern Atlantic Harbour Seal,17020
ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Phoca,Phoca vitulina ssp. concolor,"DeKay, 1842",NA,LC,Western Atlantic Harbor Seal,17021
ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Phoca,Phoca vitulina ssp. richardii,"(Gray, 1864)",NA,LC,North Pacific Harbor Seal,17022
ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Phoca,Phoca largha,"(Pallas, 1811)",NA,LC,Spotted Seal,17023
ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Phocarctos,Phocarctos hookeri,"(Gray, 1844)",NA,EN,New Zealand Sea Lion,17026
ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,PHOCOENIDAE,Phocoena,Phocoena phocoena,"(Linnaeus, 1758)",NA,LC,Harbor Porpoise,17027
ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,PHOCOENIDAE,Phocoena,Phocoena sinus,"Norris &amp; McFarland, 1958",NA,CR,Vaquita,17028
ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,PHOCOENIDAE,Phocoena,Phocoena spinipinnis,"Burmeister, 1865",NA,NT,Burmeister's Porpoise,17029
ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,PHOCOENIDAE,Phocoena,Phocoena phocoena ssp. relicta,"Abel, 1905",NA,EN,Black Sea Harbour Porpoise,17030
ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,PHOCOENIDAE,Phocoena,Phocoena phocoena,"(Linnaeus, 1758)",Baltic Sea subpopulation,CR,Harbour Porpoise,17031
